id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
316,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,10269
317,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,10270
318,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,10265
319,Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,10268
320,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,10258
321,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,10260
322,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,10261
323,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,10259
324,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,10263
325,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,10262
326,Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,10256
327,USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,10254
328,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,10257
329,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,10255
330,High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,10252
331,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,10251
332,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,10253
333,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,10250
334,Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,10249
335,TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,10248
336,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,10246
337,First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,10247
338,Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,10245
339,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,10244
340,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,10243
341,Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,10242
342,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,10241
343,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,10240
344,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,10236
345,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,10239
346,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,10237
347,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,10238
348,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,10232
349,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,10235
350,Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,10233
351,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,10234
352,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,10228
353,BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,10225
354,Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,10227
355,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,10226
356,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,10231
357,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,10230
358,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,10229
359,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,10224
360,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,10223
361,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,10221
362,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,10222
363,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,10220
364,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,10219
365,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,10218
366,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,10212
367,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,10217
368,Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,10214
369,Butler Bank,Lowell,MA,26619,People's United Bank,2010-04-16,10211
370,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010-04-16,10216
371,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010-04-16,10210
372,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010-04-16,10213
373,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010-04-16,10215
374,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,2010-04-09,10209
375,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,2010-03-26,10205
376,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,2010-03-26,10208
377,Key West Bank,Key West,FL,34684,Centennial Bank,2010-03-26,10206
378,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,2010-03-26,10207
379,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,2010-03-19,10203
380,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,2010-03-19,10204
381,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,2010-03-19,10202
382,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,2010-03-19,10199
383,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,2010-03-19,10200
384,Century Security Bank,Duluth,GA,58104,Bank of Upson,2010-03-19,10198
385,American National Bank,Parma,OH,18806,The National Bank and Trust Company,2010-03-19,10201
386,Statewide Bank,Covington,LA,29561,Home Bank,2010-03-12,10196
387,Old Southern Bank,Orlando,FL,58182,Centennial Bank,2010-03-12,10197
388,The Park Avenue Bank,New York,NY,27096,Valley National Bank,2010-03-12,10195
389,LibertyPointe Bank,New York,NY,58071,Valley National Bank,2010-03-11,10194
390,Centennial Bank,Ogden,UT,34430,No Acquirer,2010-03-05,10193
392,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,2010-03-05,10191
393,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,2010-03-05,10192
394,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2010-02-26,10189
395,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2010-02-26,10188
396,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010-02-19,10185
397,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2010-02-19,10184
398,The La Coste National Bank,La Coste,TX,3287,Community National Bank,2010-02-19,10186
399,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2010-02-19,10187
400,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2010-02-05,10183
401,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,2010-01-29,10178
402,First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010-01-29,10177
403,Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,2010-01-29,10180
404,"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,2010-01-29,10182
405,Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",2010-01-29,10181
406,First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010-01-29,10179
407,Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010-01-22,10176
408,Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010-01-22,10172
409,Charter Bank,Santa Fe,NM,32498,Charter Bank,2010-01-22,10175
410,Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010-01-22,10174
411,Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010-01-22,10173
412,Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010-01-15,10171
413,St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010-01-15,10169
414,Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010-01-15,10170
415,Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,2010-01-08,10168
416,"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009-12-18,10167
417,Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009-12-18,10161
418,Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),2009-12-18,10166
419,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,2009-12-18,10163
420,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,2009-12-18,10162
421,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,2009-12-18,10165
422,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,2009-12-18,10164
423,SolutionsBank,Overland Park,KS,4731,Arvest Bank,2009-12-11,10160
424,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,2009-12-11,10159
425,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,2009-12-11,10158
426,Greater Atlantic Bank,Reston,VA,32583,Sonabank,2009-12-04,10156
427,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",2009-12-04,10154
428,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,2009-12-04,10155
429,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,2009-12-04,10153
430,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,2009-12-04,10157
431,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,2009-12-04,10152
432,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,2009-11-20,10151
433,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009-11-13,10150
434,Orion Bank,Naples,FL,22427,IBERIABANK,2009-11-13,10149
435,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,2009-11-13,10148
436,United Commercial Bank,San Francisco,CA,32469,East West Bank,2009-11-06,10147
437,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,2009-11-06,10146
438,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",2009-11-06,10143
439,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,2009-11-06,10144
440,United Security Bank,Sparta,GA,22286,Ameris Bank,2009-11-06,10145
441,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,2009-10-30,10138
442,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,2009-10-30,10142
443,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,2009-10-30,10141
444,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,2009-10-30,10140
445,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009-10-30,10139
446,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009-10-30,10134
447,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009-10-30,10135
448,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,2009-10-30,10137
449,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,2009-10-30,10136
450,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,2009-10-23,10128
451,Riverview Community Bank,Otsego,MN,57525,Central Bank,2009-10-23,10133
452,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,2009-10-23,10132
453,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,2009-10-23,10129
454,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,2009-10-23,10131
455,American United Bank,Lawrenceville,GA,57794,Ameris Bank,2009-10-23,10127
456,Partners Bank,Naples,FL,57959,Stonegate Bank,2009-10-23,10130
457,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009-10-16,10126
458,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2009-10-02,10123
459,Jennings State Bank,Spring Grove,MN,11416,Central Bank,2009-10-02,10124
460,Warren Bank,Warren,MI,34824,The Huntington National Bank,2009-10-02,10125
461,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",2009-09-25,10122
462,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",2009-09-18,10121
463,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",2009-09-18,10120
464,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,2009-09-11,10119
465,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,2009-09-11,10118
466,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",2009-09-11,10117
467,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,2009-09-04,10114
468,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,2009-09-04,10115
469,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,2009-09-04,10116
470,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",2009-09-04,10113
471,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,2009-09-04,10112
472,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009-08-28,10110
473,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,2009-08-28,10111
474,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),2009-08-28,10109
475,Guaranty Bank,Austin,TX,32618,BBVA Compass,2009-08-21,10105
476,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,2009-08-21,10106
477,First Coweta Bank,Newnan,GA,57702,United Bank,2009-08-21,10108
478,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",2009-08-21,10107
479,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,2009-08-14,10100
480,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,2009-08-14,10101
481,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,2009-08-14,10102
482,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14,10103
483,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",2009-08-14,10104
484,Community First Bank,Prineville,OR,23268,Home Federal Bank,2009-08-07,10092
485,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",2009-08-07,10099
486,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",2009-08-07,10098
487,Mutual Bank,Harvey,IL,18659,United Central Bank,2009-07-31,10094
488,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009-07-31,10097
489,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009-07-31,10096
490,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009-07-31,10095
491,First State Bank of Altus,Altus,OK,9873,Herring Bank,2009-07-31,10093
492,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009-07-24,10088
493,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009-07-24,10087
494,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009-07-24,10085
495,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009-07-24,10090
496,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009-07-24,10089
497,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009-07-24,10086
498,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009-07-24,10091
499,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,10082
500,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,10083
501,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009-07-17,10081
502,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009-07-17,10084
503,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009-07-10,10080
504,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009-07-02,10074
505,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009-07-02,10079
506,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009-07-02,10078
507,The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009-07-02,10073
508,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009-07-02,10075
509,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2009-07-02,10077
510,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2009-07-02,10076
511,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,10072
512,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,10071
513,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",2009-06-26,10070
514,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,2009-06-26,10069
515,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,2009-06-26,10068
516,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,2009-06-19,10066
517,Cooperative Bank,Wilmington,NC,27837,First Bank,2009-06-19,10065
518,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,2009-06-19,10067
519,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,2009-06-05,10064
520,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,2009-05-22,10063
521,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,2009-05-22,10062
522,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,2009-05-21,10061
523,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,2009-05-08,10060
524,America West Bank,Layton,UT,35461,Cache Valley Bank,2009-05-01,10057
525,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,2009-05-01,10058
526,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,2009-05-01,10059
527,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",2009-04-24,10055
528,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,2009-04-24,10054
529,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,2009-04-24,10056
530,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,2009-04-24,10053
531,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,2009-04-17,10051
532,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,2009-04-17,10052
533,New Frontier Bank,Greeley,CO,34881,No Acquirer,2009-04-10,10050
534,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,2009-04-10,10049
535,Omni National Bank,Atlanta,GA,22238,No Acquirer,2009-03-27,10048
536,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,2009-03-20,10046
537,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,2009-03-20,10045
538,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,2009-03-20,10047
539,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,2009-03-06,10044
540,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,2009-02-27,10043
541,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",2009-02-27,10042
542,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,2009-02-20,10041
543,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,2009-02-13,10040
544,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,2009-02-13,10037
545,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,2009-02-13,10038
546,Sherman County Bank,Loup City,NE,5431,Heritage Bank,2009-02-13,10039
547,County Bank,Merced,CA,22574,Westamerica Bank,2009-02-06,10034
548,Alliance Bank,Culver City,CA,23124,California Bank & Trust,2009-02-06,10035
549,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,2009-02-06,10036
550,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",2009-01-30,10032
551,Suburban FSB,Crofton,MD,30763,Bank of Essex,2009-01-30,10033
552,MagnetBank,Salt Lake City,UT,58001,No Acquirer,2009-01-30,10031
553,1st Centennial Bank,Redlands,CA,33025,First California Bank,2009-01-23,10030
554,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,2009-01-16,10029
555,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,2009-01-16,10028
556,Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,2008-12-12,10026
557,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",2008-12-12,10027
558,First Georgia Community Bank,Jackson,GA,34301,United Bank,2008-12-05,10025
559,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",2008-11-21,10024
560,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",2008-11-21,10023
561,Community Bank,Loganville,GA,16490,Bank of Essex,2008-11-21,10022
562,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,2008-11-07,10020
563,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,2008-11-07,10021
564,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,2008-10-31,10019
565,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",2008-10-24,10018
566,Meridian Bank,Eldred,IL,13789,National Bank,2008-10-10,10017
567,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,2008-10-10,10016
568,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,2008-09-25,10015
569,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",2008-09-19,10014
570,Silver State Bank,Henderson,NV,34194,Nevada State Bank,2008-09-05,10013
571,Integrity Bank,Alpharetta,GA,35469,Regions Bank,2008-08-29,10012
572,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,2008-08-22,10011
573,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,2008-08-01,10010
574,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,2008-07-25,10009
575,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,2008-07-25,10008
576,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",2008-07-11,10007
577,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,2008-05-30,10006
578,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,2008-05-09,10005
579,Hume Bank,Hume,MO,1971,Security Bank,2008-03-07,10004
580,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,2008-01-25,10003
581,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,2007-10-04,10002
582,NetBank,Alpharetta,GA,32575,ING DIRECT,2007-09-28,10001
583,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2007-02-02,10000
584,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,2004-06-25,4665
585,Reliance Bank,White Plains,NY,26778,Union State Bank,2004-03-19,4664
586,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,2004-03-12,4663
587,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,2004-02-14,6006
588,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,2003-11-14,4662
589,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,2003-05-09,4661
590,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2003-02-07,4660
591,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,2002-12-17,4659
592,Bank of Alamo,Alamo,TN,9961,No Acquirer,2002-11-08,4658
593,AmTrade International Bank,Atlanta,GA,33784,No Acquirer,2002-09-30,4657
594,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,2002-06-27,6005
595,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,2002-06-26,4656
596,New Century Bank,Shelby Township,MI,34979,No Acquirer,2002-03-28,4655
597,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,2002-03-01,4654
598,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2002-02-07,4653
599,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2002-02-01,4652
600,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,2002-01-18,4651
601,"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,2002-01-11,4650
602,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,2001-09-07,4649
603,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",2001-07-27,6004
604,Malta National Bank,Malta,OH,6629,North Valley Bank,2001-05-03,4648
605,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2001-02-02,4647
606,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,2000-12-14,4646
607,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,2000-10-13,4645
